Gene Id	Entrenz Id	FC	Replicon	Product	GO
gene25390	110279	-3,149,484,312	NC_000076.6	breakpoint cluster region	GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0002443 GO:0050776 GO:0051707 GO:0048583 GO:0009607 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene36375	102636152	-2,378,492,203	NC_000081.6	lncRNA	
gene29396	104318	-2,752,807,712	NC_000077.6	casein kinase 1, delta	GO:0048583 GO:0050896 GO:0033218 GO:0042277 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene33539	100861977	-4,386,682,551	NC_000079.6	pseudogene	
gene11046	108168990	-2,689,583,748	NC_000070.6	lncRNA	
gene44086	207854	-331,617,782	NC_000086.7	fragile X mental retardation 1 neighbor	GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene42939	73728	-2,957,242,311	NC_000085.6	pleckstrin and Sec7 domain containing	GO:0048583 GO:0050896 GO:0005488 GO:0044464 GO:0005623 GO:0005622 
gene28288	20303	-469,947,805	NC_000077.6	chemokine (C-C motif) ligand 4	GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002682 GO:0051702 GO:0002684 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0005576 
gene7792	105244527	-2,426,979,808	NC_000069.6	lncRNA	
gene32527	102633960	-2,467,446,808	NC_000079.6	lncRNA	
gene30398	53612	-2,702,098,208	NC_000078.6	vesicle transport through interaction with t-SNAREs 1B homolog	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene22901	69632	-2,686,326,506	NC_000075.6	Rho guanine nucleotide exchange factor (GEF) 12	GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene37395	26425	-3,666,057,515	NC_000082.6	nucleotide binding protein 1	GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene18848	101706	-2,467,062,996	NC_000073.6	nuclear mitotic apparatus protein 1	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene9278	66783	-2,713,018,689	NC_000070.6	misc_RNA	
gene37017	102636689	-2,639,077,126	NC_000081.6	lncRNA	
gene39980	57908	-275,639,156	NC_000083.6	zinc finger protein 318	GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39317	70772	-2,389,385,328	NC_000083.6	gametogenetin binding protein 1	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene34814	102634535	-2,580,844,517	NC_000080.6	lncRNA	
gene8045	211550	-3,168,956,125	NC_000069.6	TRAF-interacting protein with forkhead-associated domain	GO:0050896 GO:0005515 GO:0005488 
gene27860	574428	-2,845,671,447	NC_000077.6	zinc finger, MYND-type containing 15	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene8893	108168952	-3,820,861,735	NC_000070.6	protein_coding	
gene14668	243469	-2,734,874,072	NC_000072.6	other	
gene21511	102641396	-2,591,643,007	NC_000074.6	lncRNA	
gene29011	50776	-245,884,874	NC_000077.6	polymerase (DNA directed), gamma 2, accessory subunit	GO:0006950 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene31645	102634724	-3,859,611,333	NC_000079.6	lncRNA	
gene42672	667373	-2,240,036,523	NC_000085.6	protein_coding	
gene22981	100038468	-2,241,849,797	NC_000075.6	lncRNA	
gene25689	432479	-2,205,292,906	NC_000076.6	protein_coding	
gene37926	102639045	-2,034,660,851	NC_000082.6	lncRNA	
gene11475	97209	-4,758,901,884	NC_000071.6	misc_RNA	
gene6810	329650	-2,123,976,516	NC_000069.6	mediator of RNA polymerase II transcription, subunit 12 homolog (yeast)-like	GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene28787	102636037	-2,217,420,854	NC_000077.6	lncRNA	
gene20155	102132	-2,781,384,554	NC_000074.6	lncRNA	
gene15984	102639979	-1,969,508,481	NC_000072.6	lncRNA	
gene42330	207521	-3,496,163,264	NC_000085.6	deltex 4 homolog (Drosophila)	GO:0050896 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene13246	102640510	-3,235,585,547	NC_000071.6	lncRNA	
gene35851	70350	-2,945,880,427	NC_000081.6	brain abundant, membrane attached signal protein 1	GO:0045087 GO:0045087 GO:0045087 GO:0005515 GO:0005515 GO:0005515 GO:0016462 GO:0016462 GO:0016462 GO:0005488 GO:0005488 GO:0005488 GO:0033655 GO:0033655 GO:0033655 GO:0005737 GO:0005737 GO:0005737 GO:0031982 GO:0031982 GO:0031982 GO:0044464 GO:0044464 GO:0044464 GO:0042612 GO:0042612 GO:0042612 GO:0005623 GO:0005623 GO:0005623 GO:0005794 GO:0005794 GO:0005794 GO:0044424 GO:0044424 GO:0044424 GO:0005622 GO:0005622 GO:0005622 GO:0005622 GO:0005622 GO:0005622 GO:0042824 GO:0042824 GO:0042824 GO:0043229 GO:0043229 GO:0043229 GO:0043226 GO:0043226 GO:0043226 GO:0043226 
gene18454	269955	-2,277,984,014	NC_000073.6	RCC1 domain containing 1	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene2275	74748	-5,261,379,693	NC_000067.6	protein_coding	
gene12222	17329	-6,707,663,406	NC_000071.6	chemokine (C-X-C motif) ligand 9	GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0051707 GO:0009607 GO:0050896 GO:0005515 GO:0005488 GO:0009897 GO:0044421 GO:0009986 GO:0005576 GO:0044464 GO:0005623 
gene36493	17189	-494,689,081	NC_000081.6	myoglobin	GO:0002376 GO:0006950 GO:0050896 GO:0005488 
gene40147	240120	-2,879,809,764	NC_000083.6	zinc finger protein 119b	GO:0005488 
gene42040	18969	-3,797,651,071	NC_000085.6	polymerase (DNA directed), alpha 2	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0005658 GO:0043229 GO:0043226 
gene27041	76874	-2,985,349,226	NC_000077.6	lncRNA	
gene42329	17476	-3,246,142,987	NC_000085.6	protein_coding	
gene42240	98170	-2,262,094,429	NC_000085.6	transmembrane protein 132A	GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene33543	102633810	-3,812,902,974	NC_000079.6	pseudogene	
gene15866	108167382	-2,909,404,087	NC_000072.6	lncRNA	
gene23428	56404	-2,205,563,904	NC_000075.6	thyroid hormone receptor interactor 4	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene1664	102634762	-3,240,021,468	NC_000067.6	lncRNA	
gene39568	21354	-5,806,796,375	NC_000083.6	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0019882 GO:0048002 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0050776 GO:0002483 GO:0019883 GO:0002474 GO:0048583 GO:0050896 GO:0042605 GO:0016787 GO:0033218 GO:0042277 GO:0016817 GO:0003823 GO:0005515 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0042824 GO:0043229 GO:0043226 
gene39573	14961	-2,949,535,969	NC_000083.6	histocompatibility 2, class II antigen A, beta 1	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0006950 GO:0019882 GO:0034097 GO:0048002 GO:0071345 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002455 GO:0002478 GO:0050778 GO:0048583 GO:0006959 GO:0019884 GO:0050896 GO:0042605 GO:0033218 GO:0042277 GO:0003823 GO:0005515 GO:0005488 GO:0042611 GO:0009897 GO:0042613 GO:0009986 GO:0005737 GO:0005770 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene13983	78412	-1,853,336,032	NC_000072.6	RIKEN cDNA 3110062M04 gene	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene15983	105244876	-2,761,835,057	NC_000072.6	lncRNA	
gene40226	12266	-3,064,442,863	NC_000083.6	complement component 3	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002455 GO:0050778 GO:0048583 GO:0006959 GO:0050896 GO:0006956 GO:0005515 GO:0005488 GO:0044421 GO:0005576 
gene8174	102634060	-2,505,742,163	NC_000069.6	lncRNA	
gene29323	102639982	-2,439,628,739	NC_000077.6	lncRNA	
gene17387	625421	-1,880,375,444	NC_000073.6	misc_RNA	
gene27705	93896	-2,023,582,444	NC_000077.6	glucagon-like peptide 2 receptor	GO:0050896 GO:0044464 GO:0005623 
gene1052	102634459	-3,473,274,565	NC_000067.6	lncRNA	
gene35477	72486	-4,422,997,768	NC_000080.6	ring finger protein 219	GO:0005488 
gene32985	105245563	-2,440,236,417	NC_000079.6	lncRNA	
gene2058	100503816	-2,719,912,758	NC_000067.6	lncRNA	
gene29065	100503496	-237,894,432	NC_000077.6	lncRNA	
gene37925	80285	-3,085,331,654	NC_000082.6	poly (ADP-ribose) polymerase family, member 9	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0006950 GO:0034097 GO:0002682 GO:0050776 GO:0048583 GO:0050896 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene1066	70247	-2,949,372,456	NC_000067.6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene25018	105245143	-2,448,722,411	NC_000076.6	lncRNA	
gene8223	229900	-3,420,727,217	NC_000069.6	guanylate binding protein 7	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0042832 GO:0006950 GO:0001562 GO:0034097 GO:0051856 GO:0051825 GO:0071345 GO:0051702 GO:0051707 GO:0009607 GO:0050896 GO:0050830 GO:0033655 GO:0030430 GO:0020003 GO:0033646 GO:0043656 GO:0043245 GO:0044216 GO:0033643 GO:0018995 GO:0044217 GO:0044215 GO:0043657 GO:0020005 GO:0065010 GO:0043230 GO:0044421 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene26591	237625	-3,190,703,857	NC_000077.6	phospholipase A2, group III	GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene27946	16407	-2,447,648,824	NC_000077.6	integrin alpha E, epithelial-associated	GO:0050896 GO:0009897 GO:0009897 GO:0009897 GO:0044421 GO:0044421 GO:0044421 GO:0009986 GO:0044464 GO:0005623 
gene35630	68889	-1,874,048,057	NC_000080.6	protein_coding	
gene36309	100503580	-222,584,499	NC_000081.6	lncRNA	
gene17469	105242901	-1,790,288,571	NC_000073.6	lncRNA	
gene18542	102633347	-240,976,845	NC_000073.6	lncRNA	
gene38522	102640551	-1,895,858,806	NC_000082.6	lncRNA	
gene32485	107448	-476,124,568	NC_000079.6	unc-5 homolog A (C. elegans)	GO:0050896 GO:0044464 GO:0005623 
gene8368	26938	-3,581,926,237	NC_000069.6	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene22256	102634083	-2,136,353,631	NC_000075.6	lncRNA	
gene42670	15958	-2,708,553,745	NC_000085.6	interferon-induced protein with tetratricopeptide repeats 2	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0034097 GO:0071345 GO:0002252 GO:0051707 GO:0009607 GO:0050896 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene40773	225182	-2,103,733,882	NC_000084.6	retinoblastoma binding protein 8	GO:0006950 GO:0050896 GO:0016787 GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene1575	102631674	-2,457,398,866	NC_000067.6	lncRNA	
gene8710	12014	-3,152,354,995	NC_000070.6	BTB and CNC homology 2	GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene41749	619308	-3,733,711,639	NC_000084.6	misc_RNA	
gene10407	230806	-3,042,878,017	NC_000070.6	protein_coding	
gene41457	60440	-424,453,598	NC_000084.6	interferon inducible GTPase 1	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0042832 GO:0006950 GO:0001562 GO:0034097 GO:0071345 GO:0035458 GO:0035456 GO:0051707 GO:0009607 GO:0050896 GO:0016787 GO:0016817 GO:0005515 GO:0016462 GO:0016818 GO:0005488 GO:0033655 GO:0030430 GO:0020003 GO:0033646 GO:0043656 GO:0043245 GO:0044216 GO:0033643 GO:0018995 GO:0044217 GO:0044215 GO:0043657 GO:0020005 GO:0065010 GO:0043230 GO:0044421 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene41025	52563	-2,119,012,443	NC_000084.6	CDC23 cell division cycle 23	GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39475	664702	-2,732,144,038	NC_000083.6	lncRNA	
gene28530	237928	-1,861,676,898	NC_000077.6	phosphatase, orphan 1	GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 
gene35450	71264	-3,361,503,555	NC_000080.6	lncRNA	
gene19749	19267	-2,091,294,013	NC_000073.6	protein tyrosine phosphatase, receptor type, E	GO:0002376 GO:0002682 GO:0002682 GO:0002682 GO:0002449 GO:0002449 GO:0002449 GO:0048583 GO:0050896 GO:0016787 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene19508	12752	-2,849,096,297	NC_000073.6	ceroid lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-Vogt disease)	GO:0006950 GO:0048583 GO:0050896 GO:0050896 GO:0050896 GO:0006956 GO:0006956 GO:0006956 GO:0005515 GO:0005488 GO:0000323 GO:0000323 GO:0000323 GO:0005764 GO:0005764 GO:0005764 GO:0005764 GO:0005764 GO:0005764 GO:0009986 GO:0009986 GO:0009986 GO:0005773 GO:0005773 GO:0005773 GO:0005737 GO:0005737 GO:0005737 GO:0005737 GO:0031982 GO:0031410 GO:0005770 GO:0005770 GO:0005770 GO:0044464 GO:0044464 GO:0044464 GO:0044464 GO:0005623 GO:0005794 GO:0005794 GO:0005794 GO:0044424 GO:0044424 GO:0044424 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene12307	231474	-1,625,061,714	NC_000071.6	progestin and adipoQ receptor family member III	GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene36286	21819	-2,002,651,778	NC_000081.6	thyroglobulin	GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene10738	21941	-6,559,454,098	NC_000070.6	tumor necrosis factor receptor superfamily, member 8	GO:0050896 
gene31586	328190	-7,456,608,995	NC_000079.6	lncRNA	
gene28048	215113	-2,582,072,724	NC_000077.6	solute carrier family 43, member 2	GO:0044464 GO:0005623 
gene39672	15015	-2,690,894,705	NC_000083.6	protein_coding	
gene40149	100504333	-2,093,157,558	NC_000083.6	lncRNA	
gene44221	16151	-1,670,716,707	NC_000086.7	inhibitor of kappaB kinase gamma	GO:0002376 GO:0006950 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene15847	70809	-2,039,237,018	NC_000072.6	C-type lectin domain family 2, member g	GO:0002376 GO:0002682 GO:0005488 GO:0044421 GO:0005576 GO:0044464 GO:0005623 
gene20722	102632429	-1,627,994,059	NC_000074.6	lncRNA	
gene6554	50911	-2,056,237,179	NC_000069.6	exosome component 9	GO:0016787 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene12448	17472	-3,711,810,377	NC_000071.6	guanylate binding protein 4	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0006950 GO:0034097 GO:0071345 GO:0002252 GO:0002682 GO:0051707 GO:0048583 GO:0009607 GO:0050896 GO:0005515 GO:0005488 
gene8493	105247092	-2,662,444,595	NC_000070.6	lncRNA	
gene29765	102640152	-2,172,699,648	NC_000078.6	lncRNA	
gene1039	102639105	-3,531,332,149	NC_000067.6	protein_coding	
gene1116	102636392	-168,298,685	NC_000067.6	lncRNA	
gene8917	21754	-2,318,556,615	NC_000070.6	testis specific protein kinase 1	GO:0005488 
gene27187	620913	-273,581,061	NC_000077.6	protein_coding	
gene8148	108168903	-2,104,009,659	NC_000069.6	lncRNA	
gene38748	100040822	-1,559,750,556	NC_000083.6	misc_RNA	
gene14358	108169140	-2,373,253,287	NC_000072.6	lncRNA	
gene26370	108167763	-1,675,701,151	NC_000076.6	lncRNA	
gene28417	73921	-1,551,615,653	NC_000077.6	lncRNA	
gene14232	66797	-1,858,118,281	NC_000072.6	contactin associated protein-like 2	GO:0050896 GO:0005515 GO:0005488 GO:0009986 GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39665	14964	-2,647,849,202	NC_000083.6	histocompatibility 2, D region locus 1	GO:0002376 GO:0006955 GO:0019882 GO:0048002 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002483 GO:0019883 GO:0002474 GO:0050778 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0042611 GO:0009897 GO:0009986 GO:0044464 GO:0042612 GO:0005623 
gene14042	102636584	-2,145,030,553	NC_000072.6	lncRNA	
gene13371	108086	-1,854,070,329	NC_000071.6	ring finger protein 216	GO:0002376 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0051707 GO:0048583 GO:0009607 GO:0050896 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene558	20846	-3,546,678,208	NC_000067.6	signal transducer and activator of transcription 1	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0006950 GO:0034097 GO:0071345 GO:0051707 GO:0048583 GO:0009607 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene24613	69412	-1,811,145,136	NC_000076.6	lncRNA	
gene15406	75394	-2,093,021,222	NC_000072.6	lncRNA	
gene42445	353211	-24,548,881	NC_000085.6	prune homolog 2 (Drosophila)	GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005737 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene10606	100126227	-2,266,984,608	NC_000070.6	lncRNA	
gene41470	16149	-2,565,592,585	NC_000084.6	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	GO:0045087 GO:0045087 GO:0045087 GO:0002376 GO:0002376 GO:0002376 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0019882 GO:0034097 GO:0034097 GO:0034097 GO:0051856 GO:0051856 GO:0051856 GO:0048002 GO:0048002 GO:0048002 GO:0051825 GO:0051825 GO:0051825 GO:0071345 GO:0071345 GO:0071345 GO:0002252 GO:0002252 GO:0002252 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002478 GO:0050778 GO:0048583 GO:0019884 GO:0050896 GO:0033218 GO:0033218 GO:0033218 GO:0042277 GO:0042277 GO:0042277 GO:0042277 GO:0042277 GO:0042277 GO:0016817 GO:0016817 GO:0016817 GO:0005515 GO:0005488 GO:0042611 GO:0009897 GO:0042613 GO:0000323 GO:0005764 GO:0009986 GO:0005773 GO:0005737 GO:0005770 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene31120	56696	-4,055,896,931	NC_000078.6	G protein-coupled receptor 132	GO:0050896 GO:0044464 GO:0005623 
gene30293	209183	-1,980,928,315	NC_000078.6	pseudogene	
gene28798	108167926	-2,049,878,838	NC_000077.6	lncRNA	
gene32150	102632411	-185,332,166	NC_000079.6	lncRNA	
gene28919	102638125	-1,895,364,425	NC_000077.6	lncRNA	
gene26127	52705	-1,613,760,347	NC_000076.6	KRR1, small subunit (SSU) processome component, homolog (yeast)	GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene39575	14969	-3,351,853,144	NC_000083.6	histocompatibility 2, class II antigen E beta	GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0019882 GO:0048002 GO:0002252 GO:0002682 GO:0002449 GO:0002443 GO:0002460 GO:0002250 GO:0050776 GO:0002455 GO:0051707 GO:0002478 GO:0048583 GO:0006959 GO:0009607 GO:0019884 GO:0050896 GO:0042605 GO:0033218 GO:0042277 GO:0003823 GO:0005515 GO:0005488 GO:0042611 GO:0009897 GO:0042613 GO:0000323 GO:0005764 GO:0009986 GO:0005773 GO:0005737 GO:0005770 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene15789	77558	-1,582,879,865	NC_000072.6	lncRNA	
gene1572	16865	-1,409,879,755	NC_000067.6	eukaryotic translation initiation factor 2D	GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene24936	102634321	-2,158,579,147	NC_000076.6	lncRNA	
gene7009	100233207	-1,523,343,397	NC_000069.6	protein_coding	
gene33203	320806	-1,477,185,199	NC_000079.6	G elongation factor, mitochondrial 2	GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene38534	14450	-3,083,556,975	NC_000082.6	phosphoribosylglycinamide formyltransferase	GO:0050896 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene10302	102642196	-2,533,742,527	NC_000070.6	lncRNA	
gene21606	57813	-2,931,552,784	NC_000074.6	thymidine kinase 2, mitochondrial	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene19261	67150	-139,282,269	NC_000073.6	ring finger protein 141	GO:0005488 
gene18070	108167326	-3,205,530,969	NC_000073.6	lncRNA	
gene17996	20210	-5,754,499,319	NC_000073.6	serum amyloid A 3	GO:0006952 GO:0006950 GO:0050896 GO:0044421 GO:0005576 
gene9014	105247126	-3,177,747,213	NC_000070.6	lncRNA	
gene10545	102635577	-2,599,828,542	NC_000070.6	lncRNA	
gene23003	100101457	-1,857,670,854	NC_000075.6	misc_RNA	
gene15717	108169168	-6,653,048,986	NC_000072.6	lncRNA	
